Temperature_A	Temperature_C	Log_Pressure
154.999	154.999	8.90999e-08
155.001	155	8.90999e-08
155	155	8.90999e-08
155	154.998	8.90999e-08
154.998	154.999	8.90999e-08
155	154.999	8.90999e-08
154.999	154.999	8.90999e-08
154.997	154.999	8.90999e-08
154.998	154.999	8.90999e-08
154.996	154.999	8.90999e-08
154.997	154.998	8.90999e-08
154.997	154.997	8.90999e-08
154.997	155	8.90999e-08
154.998	154.998	8.90999e-08
154.998	154.999	8.90999e-08
154.996	154.998	8.90999e-08
154.996	154.998	8.90999e-08
154.996	154.998	8.90999e-08
154.995	154.998	8.90999e-08
154.995	154.996	8.90999e-08
154.996	154.998	8.90999e-08
154.996	154.996	8.90999e-08
154.994	154.994	8.90999e-08
154.994	154.996	8.90999e-08
154.994	154.998	8.90999e-08
154.995	154.998	8.90999e-08
154.995	154.997	8.90999e-08
154.996	154.996	8.90999e-08
154.994	154.996	8.90999e-08
154.995	154.999	8.90999e-08
154.993	154.996	8.90999e-08
154.994	154.997	8.90999e-08
154.994	154.996	8.90999e-08
154.993	154.997	8.90999e-08
154.995	154.997	8.90999e-08
154.994	154.997	8.90999e-08
154.996	154.998	8.90999e-08
154.997	154.996	8.90999e-08
154.997	154.997	8.90999e-08
154.996	154.997	8.90999e-08
154.995	154.996	8.90999e-08
154.996	154.996	8.90999e-08
154.995	154.997	8.90999e-08
154.997	154.997	8.90999e-08
154.998	155	8.90999e-08
154.997	154.997	8.90999e-08
154.999	154.998	8.90999e-08
154.999	154.998	8.90999e-08
154.996	154.997	8.90999e-08
154.998	154.998	8.90999e-08
154.999	154.998	8.90999e-08
154.998	154.999	8.90999e-08
155	154.999	8.90999e-08
154.999	154.998	8.89e-08
154.998	155	8.89e-08
154.998	154.998	8.89e-08
155	155	8.89e-08
155	155	8.89e-08
154.998	154.999	8.89e-08
154.998	155	8.89e-08
155	154.999	8.86999e-08
155.001	155.001	8.86999e-08
155	155.001	8.86999e-08
154.998	155	8.86999e-08
155	155.001	8.86999e-08
155.001	155	8.86999e-08
155.001	155.001	8.86999e-08
155.002	155	8.86999e-08
155.002	154.999	8.86999e-08
155.001	155.001	8.86999e-08
155	155	8.86999e-08
155.001	155.001	8.86999e-08
155.002	155.003	8.85e-08
155.001	155.003	8.86999e-08
154.999	155.001	8.85e-08
155.001	155.002	8.85e-08
154.998	155.001	8.85e-08
155	154.999	8.85e-08
154.999	155.001	8.85e-08
154.999	155.002	8.85e-08
154.999	155.002	8.85e-08
154.998	155	8.85e-08
154.998	155.001	8.85e-08
154.997	154.999	8.85e-08
154.997	154.999	8.85e-08
154.998	155.001	8.85e-08
154.998	155	8.85e-08
154.996	155	8.85e-08
154.994	155	8.85e-08
154.996	155.002	8.85e-08
154.997	155.002	8.85e-08
154.996	154.999	8.85e-08
154.996	155.002	8.85e-08
154.998	155.001	8.85e-08
154.999	155.002	8.85e-08
154.998	155.002	8.85e-08
154.996	155.001	8.85e-08
154.998	155.001	8.85e-08
154.996	155	8.85e-08
154.997	155.002	8.85e-08
154.998	155.001	8.85e-08
154.998	155.001	8.85e-08
154.998	155.003	8.85e-08
154.996	155	8.85e-08
154.996	155.001	8.85e-08
154.997	155.002	8.85e-08
154.993	155	8.85e-08
154.994	155.002	8.85e-08
154.994	155.001	8.85e-08
154.994	155.001	8.85e-08
154.993	155.002	8.85e-08
154.992	155.001	8.85e-08
154.993	155.002	8.85e-08
154.992	154.999	8.85e-08
154.993	155.002	8.85e-08
154.993	155.001	8.85e-08
154.994	155.002	8.86999e-08
154.993	155.002	8.86999e-08
154.991	154.999	8.86999e-08
154.994	155.002	8.86999e-08
154.996	155.001	8.86999e-08
154.993	155	8.86999e-08
154.993	155.001	8.86999e-08
154.994	155	8.86999e-08
154.991	155	8.86999e-08
154.994	155.001	8.86999e-08
154.992	155	8.86999e-08
154.994	155.003	8.86999e-08
154.996	155	8.86999e-08
154.996	155.001	8.86999e-08
154.995	155.001	8.86999e-08
154.996	154.999	8.89e-08
154.996	155.001	8.86999e-08
154.995	155	8.89e-08
154.997	155	8.89e-08
154.998	155	8.86999e-08
154.997	155.003	8.89e-08
154.998	155.001	8.89e-08
154.998	155.001	8.89e-08
154.999	155	8.89e-08
155	155	8.89e-08
155	155.001	8.89e-08
155.001	155	8.89e-08
155	155	8.89e-08
155	155.001	8.89e-08
155.003	155	8.89e-08
155.003	155.002	8.89e-08
155.004	155.002	8.89e-08
155.003	155.001	8.89e-08
155.007	155.001	8.89e-08
155.007	155.002	8.89e-08
155.007	155.002	8.89e-08
155.007	155.003	8.89e-08
155.005	155.002	8.89e-08
155.007	155.001	8.89e-08
155.008	155	8.89e-08
155.005	155.001	8.89e-08
155.009	155	8.89e-08
155.008	155.002	8.89e-08
155.009	155	8.89e-08
155.009	155.002	8.89e-08
155.008	155.001	8.89e-08
155.008	155.002	8.89e-08
155.008	155.001	8.89e-08
155.008	155.002	8.89e-08
155.009	155	8.89e-08
155.007	155	8.89e-08
155.007	155.002	8.89e-08
155.007	155.001	8.89e-08
155.008	155.003	8.89e-08
155.005	155.002	8.89e-08
155.004	155.003	8.86999e-08
155.005	155.003	8.86999e-08
155.004	155.002	8.86999e-08
155.004	155.003	8.86999e-08
155	155.002	8.86999e-08
155.001	155	8.86999e-08
155.002	155.002	8.85e-08
155.001	155	8.85e-08
154.999	155	8.85e-08
154.999	155.001	8.85e-08
154.996	155	8.85e-08
154.996	155	8.82999e-08
154.995	155	8.85e-08
154.996	155	8.82999e-08
154.994	155.001	8.82999e-08
154.996	155.001	8.82999e-08
154.994	155.001	8.82999e-08
154.992	155	8.82999e-08
154.992	155	8.82999e-08
154.993	155	8.82999e-08
154.993	155	8.82999e-08
154.994	155.001	8.82999e-08
154.993	154.999	8.82999e-08
154.993	155	8.82999e-08
154.994	155	8.82999e-08
154.992	154.999	8.82999e-08
154.995	155	8.82999e-08
154.995	155	8.82999e-08
154.994	154.999	8.82999e-08
154.996	155.001	8.82999e-08
154.994	155	8.82999e-08
154.996	155	8.82999e-08
154.995	155.001	8.82999e-08
154.995	155	8.82999e-08
154.996	155.002	8.82999e-08
154.998	155	8.82999e-08
154.997	155.002	8.82999e-08
154.999	155.002	8.82999e-08
154.999	155.001	8.82999e-08
154.999	155.001	8.82999e-08
155	155.002	8.82999e-08
155.001	155	8.82999e-08
155.002	155.001	8.82999e-08
155.002	155.001	8.82999e-08
155.003	155.002	8.82999e-08
155.002	155.001	8.82999e-08
155.001	155.002	8.82999e-08
155	155	8.82999e-08
155.004	154.999	8.82999e-08
155.001	155	8.82999e-08
155	155	8.82999e-08
155.002	155.002	8.82999e-08
155.002	155.002	8.82999e-08
155.002	155.001	8.82999e-08
155.002	155	8.82999e-08
155.003	155.001	8.82999e-08
155.004	155	8.82999e-08
155.004	155	8.82999e-08
155.002	155.001	8.82999e-08
155.003	155.002	8.82999e-08
155.004	155	8.82999e-08
155.004	155.002	8.82999e-08
155.004	155	8.82999e-08
155.003	155.002	8.82999e-08
155.002	155.001	8.82999e-08
155.001	155	8.82999e-08
155.002	155.002	8.82999e-08
155.002	155.001	8.82999e-08
155.004	155.001	8.82999e-08
155.002	155	8.82999e-08
155.001	155.001	8.82999e-08
155	155	8.82999e-08
155.002	155.001	8.82999e-08
155	155.001	8.82999e-08
155	155	8.82999e-08
155.001	155.001	8.82999e-08
155	155	8.82999e-08
155	154.999	8.82999e-08
155	155.001	8.82999e-08
155.002	154.999	8.82999e-08
155.002	154.999	8.85e-08
155.002	155	8.85e-08
155.003	154.999	8.85e-08
155.002	155.001	8.85e-08
155.005	155	8.82999e-08
155.004	155.001	8.82999e-08
155.003	155	8.82999e-08
155.004	155.001	8.82999e-08
155.002	155.001	8.82999e-08
155.004	155	8.82999e-08
155.003	154.999	8.82999e-08
