DateTime	Epoch_Time	Temperature_A	Temperature_C	Log_Pressure
07-Jun-2019 14:36:45	737583.608860116	293.607	294.114	0.514
07-Jun-2019 14:36:46	737583.608871794	293.608	294.114	0.514
07-Jun-2019 14:36:47	737583.608883194	293.607	294.114	0.514
07-Jun-2019 14:36:48	737583.608894769	293.609	294.114	0.514
07-Jun-2019 14:36:49	737583.608907593	293.608	294.113	0.514
07-Jun-2019 14:36:50	737583.608917917	293.608	294.115	0.514
07-Jun-2019 14:36:51	737583.608929491	293.607	294.113	0.514
07-Jun-2019 14:36:52	737583.608941065	293.609	294.114	0.514
07-Jun-2019 14:36:53	737583.60895265	293.608	294.114	0.514
07-Jun-2019 14:36:54	737583.608964213	293.608	294.113	0.514
07-Jun-2019 14:36:55	737583.608975799	293.606	294.114	0.514
07-Jun-2019 14:36:56	737583.608987361	293.607	294.114	0.514
07-Jun-2019 14:36:57	737583.608998947	293.606	294.114	0.514
07-Jun-2019 14:36:58	737583.609010509	293.608	294.113	0.514
07-Jun-2019 14:36:59	737583.609022083	293.607	294.114	0.514
07-Jun-2019 14:37:00	737583.609033657	293.608	294.114	0.514
07-Jun-2019 14:37:01	737583.609045231	293.608	294.114	0.514
07-Jun-2019 14:37:02	737583.609056817	293.608	294.114	0.514
07-Jun-2019 14:37:03	737583.60906838	293.609	294.114	0.514
07-Jun-2019 14:37:04	737583.609079954	293.608	294.114	0.514
07-Jun-2019 14:37:05	737583.609091539	293.608	294.114	0.514
07-Jun-2019 14:37:06	737583.609103102	293.608	294.114	0.514
07-Jun-2019 14:37:07	737583.609114676	293.609	294.115	0.514
07-Jun-2019 14:37:08	737583.60912625	293.608	294.115	0.514
07-Jun-2019 14:37:09	737583.609137824	293.608	294.115	0.514
07-Jun-2019 14:37:10	737583.609149398	293.61	294.114	0.514
07-Jun-2019 14:37:11	737583.609160972	293.608	294.113	0.514
07-Jun-2019 14:37:12	737583.609172546	293.609	294.115	0.514
07-Jun-2019 14:37:13	737583.60918412	293.609	294.114	0.514
07-Jun-2019 14:37:14	737583.609195694	293.61	294.114	0.514
07-Jun-2019 14:37:15	737583.60920728	293.608	294.114	0.514
07-Jun-2019 14:37:16	737583.609218854	293.609	294.114	0.514
07-Jun-2019 14:37:17	737583.609230417	293.609	294.114	0.514999
07-Jun-2019 14:37:18	737583.609241991	293.609	294.113	0.514
07-Jun-2019 14:37:19	737583.609253565	293.608	294.114	0.514999
07-Jun-2019 14:37:20	737583.609265139	293.609	294.115	0.514
07-Jun-2019 14:37:21	737583.609276713	293.609	294.114	0.514999
07-Jun-2019 14:37:22	737583.609288287	293.61	294.115	0.514999
07-Jun-2019 14:37:23	737583.609299861	293.609	294.113	0.514999
07-Jun-2019 14:37:24	737583.609311435	293.607	294.114	0.514999
07-Jun-2019 14:37:25	737583.609323009	293.609	294.115	0.514999
